Credit Card Number,Transaction Value,Transaction Location,Establishment Type,Transaction Time,Day of the Week,Expense Category,Cardholder Age,Cardholder Gender,Payment History,Card Limit,Current Balance,Previous Transactions,Supplementary Cards,Avg Previous Transaction Value,Foreign Transactions,Credit Utilization,Previous Suspicious Transactions,Time Since Last Transaction (days),Class (Fraud)
1083379325882923,2281.98,Las Vegas,Restaurant,02:08,Wednesday,Entertainment,57,Female,Average,16428,4449.91,16,4,18.59,6,0.4,4,22,0
8869459021158456,4880.73,Boston,Gas Station,13:25,Monday,Health,78,Female,Good,10830,14348.37,40,4,348.43,7,0.27,2,16,0
3576467139464696,727.29,New York,Gas Station,01:00,Friday,Health,49,Non-binary,Average,8410,7510.95,0,4,418.39,6,0.5,3,23,0
7586826222525196,4141.99,San Francisco,Online Retailer,11:15,Wednesday,Health,62,Male,Poor,13489,4918.16,4,0,391.61,5,0.33,0,23,0
2616863894126064,3870.34,Denver,Online Retailer,19:35,Tuesday,Entertainment,46,Non-binary,Poor,2849,9874.3,35,0,158.86,7,0.22,0,18,0
0340671785013044,3221.18,New York,Clothing Store,04:27,Wednesday,Travel,61,Male,Good,5660,13100.37,9,3,343.65,5,0.17,2,17,0
7181942860945788,2765.71,Boston,Electronics Store,05:44,Sunday,Food,58,Female,Average,5682,2986.42,43,2,445.3,4,0.41,3,10,0
5454797049981543,3586.63,New York,Supermarket,09:49,Wednesday,Travel,42,Non-binary,Average,17845,5867.82,17,4,252.12,7,0.15,2,2,0
7397071109484387,2559.32,Boston,Clothing Store,12:25,Friday,Entertainment,38,Female,Good,9796,14867.99,6,4,256.69,5,0.73,3,11,1
2745492287258109,2226.65,Houston,Electronics Store,04:26,Friday,Health,58,Female,Poor,9501,13378.48,14,4,344.81,6,0.96,3,9,0
1018540023502229,3252.5,Denver,Electronics Store,16:01,Saturday,Entertainment,37,Male,Poor,8555,9795.28,28,3,173.36,6,0.76,3,20,0
3524633086743874,1079.59,Seattle,Gas Station,14:36,Thursday,Entertainment,57,Female,Average,11137,10659.27,5,0,147.81,6,0.28,2,11,0
1587984493567067,4775.9,Los Angeles,Cinema,02:06,Sunday,Travel,48,Male,Good,3426,11781.49,13,4,279.29,8,0.85,0,2,0
5139045390487729,1601.02,Los Angeles,Cinema,19:04,Tuesday,Health,54,Female,Poor,19403,4826.08,13,0,193.83,7,0.33,0,4,0
5676215841558970,2016.33,San Francisco,Gym,00:07,Wednesday,Health,76,Female,Poor,18964,8339.39,11,3,437.38,9,0.75,3,4,0
2975774991801879,3896.74,Las Vegas,Hotel,08:25,Friday,Entertainment,51,Non-binary,Poor,2813,2355.97,18,0,58.14,6,1.0,3,9,0
6215981713652002,54.51,Boston,Pharmacy,07:24,Saturday,Shopping,26,Non-binary,Poor,5095,12569.21,29,3,423.5,7,0.33,0,3,0
7943780584189607,3574.08,Houston,Restaurant,07:39,Saturday,Utilities,48,Non-binary,Poor,18741,10476.33,39,3,162.55,9,0.2,2,15,0
6130062071590111,711.43,Boston,Electronics Store,13:11,Monday,Food,53,Female,Average,1065,2867.3,46,3,256.2,9,0.57,2,14,0
5029425120939735,4388.17,Los Angeles,Supermarket,08:10,Tuesday,Shopping,24,Female,Average,1939,7237.7,22,1,94.44,2,0.78,1,1,0
4710819134819801,2878.79,Boston,Clothing Store,03:17,Wednesday,Food,33,Male,Poor,12123,3720.35,8,2,93.7,7,0.4,2,28,0
7607579885956589,4262.3,Miami,Hotel,07:17,Monday,Travel,72,Male,Poor,7811,11144.12,2,0,421.98,5,0.21,3,1,0
6371393550018221,3175.58,San Francisco,Online Retailer,02:16,Wednesday,Utilities,61,Male,Average,8603,5773.64,43,3,232.59,1,0.9,3,7,0
4278151336110300,4310.55,Denver,Supermarket,00:03,Thursday,Food,42,Non-binary,Average,10072,14634.41,8,2,266.46,1,0.19,0,3,0
4364467862455612,2241.24,Houston,Gym,01:38,Wednesday,Shopping,62,Female,Average,11062,7138.6,19,4,42.7,3,0.31,4,11,0
4717532178320252,233.93,Las Vegas,Hotel,11:32,Sunday,Entertainment,44,Male,Average,15158,2839.72,43,3,363.01,7,0.51,4,28,0
3753684443984671,3654.66,Los Angeles,Hotel,13:39,Wednesday,Entertainment,43,Non-binary,Average,2379,10030.23,16,1,152.16,3,0.51,0,1,0
6565028242571177,1352.12,San Francisco,Online Retailer,01:00,Sunday,Food,64,Non-binary,Good,9679,10619.07,44,4,277.14,6,0.83,0,11,0
3297163306124389,411.33,Houston,Electronics Store,00:55,Thursday,Travel,38,Female,Poor,18844,2045.56,6,2,71.26,9,0.04,1,3,0
9229158325047129,1916.52,Miami,Online Retailer,23:27,Wednesday,Entertainment,76,Male,Good,4762,2339.39,25,1,312.49,5,0.56,4,21,0
7232271427511458,2996.18,New York,Hotel,17:46,Friday,Entertainment,24,Female,Average,1229,3337.67,30,3,142.95,4,0.92,3,2,0
0208785257087404,4224.76,Houston,Electronics Store,09:45,Thursday,Food,68,Female,Average,10686,13169.52,34,3,83.28,2,0.2,2,14,0
5309464113348673,2617.58,New York,Cinema,19:02,Friday,Travel,60,Male,Poor,11995,4736.77,23,1,156.71,0,0.19,1,25,0
9645132195536985,4820.48,Chicago,Cinema,03:19,Friday,Entertainment,59,Female,Poor,2400,3409.43,29,2,371.05,2,0.38,1,7,0
1233289217378811,4614.5,Chicago,Cinema,07:14,Thursday,Shopping,47,Male,Poor,18776,14416.62,45,1,341.09,2,0.54,2,22,0
2249303021008577,4962.15,Houston,Online Retailer,01:55,Thursday,Entertainment,29,Female,Good,2578,5130.59,18,2,170.99,4,0.7,0,8,1
2991745129650740,318.76,Boston,Electronics Store,13:44,Thursday,Health,56,Female,Average,16801,7050.54,16,0,179.47,2,0.41,0,10,0
9802092302135773,894.08,Los Angeles,Hotel,01:16,Tuesday,Shopping,64,Male,Average,9033,2982.15,1,0,214.47,5,0.32,3,13,0
1450757841826876,3327.28,New York,Gym,23:00,Monday,Shopping,37,Male,Good,15783,1174.53,11,2,37.61,2,0.78,1,6,0
3372530932857086,2753.73,Boston,Gas Station,13:36,Tuesday,Travel,53,Female,Good,12248,11745.05,15,2,386.81,6,0.11,2,7,0
0523275403745722,1691.49,San Francisco,Online Retailer,12:55,Thursday,Shopping,42,Female,Good,7016,4852.37,23,4,304.72,4,0.68,2,20,0
3999367296034407,2523.2,New York,Gas Station,19:57,Wednesday,Health,76,Non-binary,Good,4195,14394.96,38,0,276.43,2,0.9,0,4,0
1058473090525445,1016.79,Chicago,Online Retailer,12:39,Monday,Shopping,49,Female,Good,7723,3556.79,18,4,289.11,8,0.73,2,19,0
9067596421180313,3122.87,New York,Cinema,12:40,Saturday,Shopping,56,Female,Good,9465,580.06,46,0,208.46,6,0.18,0,29,0
8363379608118284,665.54,New York,Cinema,20:16,Sunday,Travel,52,Female,Good,19669,5783.53,4,2,15.13,8,0.76,3,12,0
8043832265911999,2990.39,Boston,Electronics Store,00:38,Tuesday,Utilities,59,Male,Average,16398,5914.12,26,2,361.73,6,0.48,2,15,0
0771847195366522,4458.93,Miami,Online Retailer,10:32,Thursday,Food,60,Female,Good,17818,11570.92,34,2,475.47,4,0.81,2,21,0
4038394790398300,3397.49,San Francisco,Gas Station,11:47,Thursday,Shopping,24,Non-binary,Poor,14629,4412.4,6,2,180.23,3,0.92,0,1,0
6946159558709617,1272.57,Las Vegas,Electronics Store,13:48,Monday,Food,24,Male,Good,4316,13091.74,46,0,5.69,2,0.61,4,26,0
0535447738824658,3780.99,Seattle,Clothing Store,10:57,Tuesday,Health,22,Non-binary,Poor,4680,2359.19,1,2,257.63,8,0.05,0,19,0
0090227629074758,766.14,Houston,Pharmacy,15:28,Saturday,Shopping,37,Female,Good,7079,2706.59,39,1,26.51,2,0.16,0,9,0
5669152141959680,496.1,Miami,Gym,19:37,Tuesday,Entertainment,62,Female,Average,3132,2291.32,1,3,455.21,6,0.49,2,26,0
0641762902128428,696.37,Houston,Electronics Store,18:54,Thursday,Shopping,58,Non-binary,Good,3140,8165.95,12,0,335.7,4,0.32,4,24,0
0257823687193707,2207.03,Houston,Cinema,08:46,Saturday,Travel,37,Female,Poor,8716,7894.13,45,2,388.86,4,0.24,1,4,0
6962212349141178,4505.24,Houston,Cinema,16:30,Friday,Entertainment,74,Female,Average,13071,8326.75,22,3,233.52,1,0.1,1,5,0
2378811865114122,3516.81,New York,Clothing Store,05:54,Friday,Utilities,18,Female,Average,3576,6310.38,12,2,421.24,6,0.73,2,11,0
3324510919811375,3147.82,Boston,Cinema,22:55,Thursday,Health,29,Male,Poor,7239,1739.69,22,3,345.74,6,0.27,3,4,0
1597951604087966,4485.38,Miami,Gym,01:52,Tuesday,Utilities,51,Non-binary,Poor,13770,10058.68,6,1,181.77,0,0.43,1,23,0
9857480942920033,2075.9,Los Angeles,Clothing Store,21:39,Wednesday,Utilities,47,Female,Poor,7520,12810.83,12,2,206.3,2,0.27,4,18,0
7901249120900822,1077.82,Los Angeles,Gas Station,19:55,Tuesday,Health,78,Female,Average,12036,1710.33,43,1,499.14,9,0.21,0,9,0
4118394389485445,2428.94,Miami,Clothing Store,22:38,Thursday,Entertainment,52,Male,Good,5290,8495.32,34,4,197.93,1,0.35,4,26,0
5856845245414863,585.54,Miami,Supermarket,08:19,Monday,Health,33,Male,Poor,4675,4560.28,48,4,493.31,2,0.91,1,3,0
6530185658639576,3494.93,Chicago,Online Retailer,14:25,Tuesday,Utilities,39,Female,Good,2409,7868.28,36,4,18.29,0,0.08,0,29,0
1730810299969506,2772.24,San Francisco,Pharmacy,23:14,Sunday,Health,48,Female,Good,5408,889.93,35,0,212.97,0,0.5,2,6,0
4084874189135728,3839.2,Denver,Clothing Store,19:28,Thursday,Travel,69,Female,Poor,19588,4366.39,38,3,287.89,6,0.81,0,2,0
6570631701564659,3856.64,Seattle,Gym,07:43,Sunday,Food,61,Male,Good,8867,2798.43,35,0,194.25,4,0.65,1,2,1
2337128560786983,2113.71,San Francisco,Clothing Store,09:05,Monday,Entertainment,68,Female,Poor,12863,2584.88,36,3,57.97,0,0.66,0,18,0
2985969182737891,4592.35,Miami,Supermarket,10:01,Tuesday,Utilities,24,Female,Good,13586,1749.21,38,1,479.38,3,0.52,2,17,0
6209186442238603,115.17,San Francisco,Cinema,11:40,Sunday,Entertainment,47,Female,Good,12801,14561.1,15,1,71.1,4,0.45,3,10,0
0632365381952820,4306.7,New York,Restaurant,09:07,Thursday,Shopping,59,Female,Average,8040,3477.5,9,0,324.68,3,0.28,0,17,0
0801087703607622,1895.95,New York,Online Retailer,03:23,Sunday,Entertainment,68,Male,Poor,16710,12706.76,44,2,401.8,6,0.05,2,28,0
8383358507482378,3891.18,Seattle,Clothing Store,11:42,Sunday,Shopping,46,Male,Average,3759,11068.09,22,3,451.52,6,0.78,4,4,0
9122746862705951,44.8,Boston,Cinema,12:00,Tuesday,Shopping,34,Female,Poor,17480,11334.35,21,2,408.49,7,0.3,2,14,0
0015854616200456,1492.84,Chicago,Hotel,16:51,Sunday,Shopping,30,Male,Average,5078,13216.15,18,2,16.71,4,0.62,4,4,0
6984917416354754,2337.9,Las Vegas,Online Retailer,15:09,Saturday,Shopping,52,Non-binary,Good,14021,8236.9,36,1,77.55,6,0.74,3,24,0
5198286717128026,1182.5,San Francisco,Hotel,04:59,Wednesday,Health,70,Female,Poor,14784,8465.36,9,1,91.29,1,0.59,0,10,0
3781443573388865,4905.06,San Francisco,Electronics Store,15:16,Sunday,Utilities,53,Female,Average,8817,12123.14,40,1,95.84,0,0.72,1,18,0
6367131454110621,4409.98,Boston,Cinema,12:35,Tuesday,Utilities,49,Female,Good,4648,262.38,46,1,7.06,9,0.78,1,6,0
6439810627408450,2991.41,Chicago,Gas Station,00:49,Wednesday,Utilities,44,Non-binary,Poor,16394,3816.34,44,4,209.46,1,0.71,0,3,0
5377011282692346,84.2,San Francisco,Gym,22:43,Sunday,Food,63,Female,Average,7274,5589.47,43,4,130.67,3,0.04,4,11,0
6975643665085352,4073.7,Seattle,Restaurant,17:06,Wednesday,Health,36,Non-binary,Good,12443,1294.07,30,4,393.05,1,0.9,4,6,0
5394937182536464,4844.74,Houston,Supermarket,20:55,Thursday,Food,65,Female,Good,1122,13734.87,39,4,351.44,6,0.36,2,8,0
0767530940603193,2605.48,San Francisco,Cinema,08:09,Wednesday,Travel,46,Non-binary,Poor,17409,8958.94,21,2,466.01,5,0.82,2,21,0
3248031844310937,1559.24,Denver,Restaurant,14:21,Thursday,Travel,65,Male,Poor,17372,4729.16,12,3,13.38,9,0.63,1,20,0
0951122972589411,4522.83,Seattle,Clothing Store,20:43,Monday,Shopping,51,Female,Poor,3329,7867.01,13,3,430.25,6,0.42,3,20,0
7300673852584309,4806.34,Houston,Pharmacy,05:04,Tuesday,Shopping,67,Male,Average,6332,6316.11,6,0,374.94,2,0.19,1,11,0
5609081192631261,223.27,New York,Pharmacy,04:29,Tuesday,Food,72,Non-binary,Good,2312,11147.94,38,0,199.3,4,0.47,3,17,0
0601838464525284,4702.49,San Francisco,Clothing Store,02:23,Wednesday,Food,68,Male,Poor,12277,6441.64,44,2,39.29,2,0.02,4,3,0
6766046056567357,1261.05,San Francisco,Pharmacy,03:53,Thursday,Utilities,61,Female,Good,12396,11115.53,0,0,273.85,5,0.21,1,1,0
5722659506817914,2766.15,Houston,Online Retailer,20:05,Friday,Health,71,Male,Good,5978,2196.56,13,3,462.58,8,0.26,1,0,0
4080207785303442,3961.89,Chicago,Gas Station,22:44,Tuesday,Shopping,73,Female,Poor,9776,351.86,46,2,34.6,5,0.93,4,11,0
5317289285146731,2507.33,San Francisco,Gym,20:37,Thursday,Shopping,26,Male,Poor,10524,7775.29,31,0,474.6,7,0.06,1,17,0
7940570852532114,3289.11,San Francisco,Electronics Store,18:40,Monday,Health,54,Female,Poor,18251,12011.57,43,4,73.02,2,0.85,4,25,0
6723020064695657,216.62,Denver,Online Retailer,15:55,Monday,Health,42,Male,Good,6468,10052.63,37,3,235.4,0,0.19,2,12,0
5109034737455879,4950.84,New York,Hotel,23:19,Tuesday,Entertainment,25,Female,Poor,13157,8.22,9,1,416.32,7,0.24,1,5,0
5528104204409517,2220.16,Las Vegas,Electronics Store,17:57,Sunday,Food,69,Male,Poor,6623,6466.51,30,1,11.97,9,0.06,1,15,0
2741271972568450,3240.05,Boston,Cinema,04:18,Wednesday,Utilities,39,Female,Good,19893,8733.3,8,0,115.83,8,0.82,3,8,0
6439747493240458,3655.79,Boston,Supermarket,16:54,Thursday,Shopping,65,Non-binary,Good,19324,2903.97,14,1,483.78,5,0.86,2,2,0
5816085310897838,1741.01,San Francisco,Cinema,01:55,Monday,Food,20,Female,Poor,15505,14211.34,33,3,317.78,9,0.69,0,12,0
1446272404915116,2329.66,Houston,Hotel,04:47,Saturday,Shopping,40,Male,Average,1190,8542.5,36,0,213.35,8,0.99,1,1,0
3247725302213444,3809.89,Chicago,Supermarket,05:26,Monday,Shopping,32,Female,Average,1350,7090.65,38,4,221.13,3,0.4,1,1,0
7789333669592418,2293.03,Las Vegas,Clothing Store,03:49,Saturday,Utilities,38,Non-binary,Good,6339,4732.86,26,0,145.16,7,0.52,1,23,0
3213469461430454,629.58,Las Vegas,Gas Station,01:46,Saturday,Utilities,54,Female,Average,15778,9245.21,47,4,454.57,1,0.42,3,28,0
5626715875037812,1482.02,Las Vegas,Clothing Store,01:16,Friday,Food,41,Male,Average,18826,7462.06,11,0,199.22,9,0.81,2,12,1
2473689090704959,4504.87,Houston,Pharmacy,13:56,Wednesday,Food,41,Female,Poor,11217,14320.8,18,0,256.91,5,0.01,4,17,0
7196735683680613,172.33,Chicago,Clothing Store,17:57,Monday,Food,57,Female,Average,2233,7407.77,39,4,62.28,5,0.55,4,3,0
1728184904052062,90.35,Chicago,Gas Station,09:19,Wednesday,Utilities,41,Male,Poor,10874,14929.57,33,0,133.08,5,0.57,4,4,0
4257951887893497,72.07,New York,Clothing Store,13:59,Friday,Shopping,77,Female,Average,6521,1636.78,40,1,417.46,8,0.03,1,25,0
2748958247827293,1778.71,Miami,Supermarket,17:03,Friday,Utilities,36,Female,Average,9155,12705.13,6,3,24.63,7,0.38,4,8,0
7597290252106921,1066.16,New York,Cinema,01:27,Tuesday,Travel,63,Male,Good,2258,4822.62,18,0,265.7,8,0.96,2,2,0
9196034619150802,1079.73,New York,Hotel,20:45,Thursday,Entertainment,41,Male,Good,6698,659.12,27,1,286.38,3,1.0,3,28,0
3344817842737335,2489.48,Los Angeles,Hotel,06:47,Monday,Health,48,Male,Average,4215,7351.61,18,3,260.84,0,0.72,1,5,0
2670714069159377,2254.7,Los Angeles,Supermarket,01:57,Monday,Travel,66,Non-binary,Average,5288,8583.93,35,0,367.21,5,0.47,4,5,0
2278128124311262,3444.57,Los Angeles,Cinema,00:26,Thursday,Entertainment,25,Non-binary,Average,18822,7138.76,9,1,21.8,8,0.24,4,28,0
2525161561788212,3092.95,Boston,Gas Station,13:34,Saturday,Entertainment,35,Non-binary,Good,18437,8336.9,32,3,495.27,4,0.32,1,9,0
0501568294789353,2628.67,Boston,Hotel,10:51,Friday,Utilities,71,Female,Average,18035,5668.27,48,3,259.36,9,0.97,3,1,0
0670691844430730,2595.63,Las Vegas,Supermarket,21:08,Sunday,Utilities,43,Female,Average,17213,5849.38,3,3,69.21,7,0.26,0,1,1
2313263185755584,2269.29,Seattle,Online Retailer,17:46,Wednesday,Food,77,Non-binary,Average,11523,1834.22,11,4,173.95,9,0.42,0,17,0
1148839275242925,1976.15,Chicago,Clothing Store,05:44,Tuesday,Shopping,78,Female,Average,16000,5729.0,17,3,86.87,5,0.96,1,6,0
5128436407057885,2114.24,Denver,Supermarket,22:59,Wednesday,Travel,76,Non-binary,Poor,2095,14392.47,47,1,242.9,1,0.32,0,8,0
1781911611796610,60.72,Los Angeles,Online Retailer,01:07,Friday,Shopping,45,Female,Poor,10572,797.85,17,2,268.83,1,0.62,2,17,0
3773313335563456,3686.4,Seattle,Cinema,09:33,Sunday,Travel,35,Female,Good,11972,14538.21,33,3,499.18,3,0.77,0,23,0
9030666490890926,2661.83,Chicago,Pharmacy,16:57,Sunday,Entertainment,72,Female,Average,15285,10390.89,40,1,474.58,9,0.11,3,19,0
4662823233723890,2369.47,New York,Supermarket,20:43,Friday,Entertainment,48,Female,Average,13749,5179.51,15,3,104.29,0,0.18,1,17,0
2133622688931741,3327.64,Las Vegas,Clothing Store,09:34,Tuesday,Health,25,Non-binary,Poor,6265,2573.61,9,4,285.24,9,0.84,3,16,0
1146869693447075,3922.63,San Francisco,Restaurant,20:10,Monday,Shopping,38,Male,Poor,4384,11410.47,34,0,102.78,2,0.4,1,19,0
4682379095503141,3001.69,Los Angeles,Pharmacy,15:23,Wednesday,Entertainment,27,Non-binary,Poor,5063,12145.85,15,3,202.09,5,0.49,2,24,0
9848273952512986,573.34,San Francisco,Electronics Store,18:27,Friday,Food,54,Female,Average,3733,1277.92,45,2,450.85,1,0.27,2,17,0
6687253164970012,2551.0,Los Angeles,Cinema,00:56,Tuesday,Utilities,53,Male,Poor,19349,3029.29,35,4,349.59,6,0.85,3,4,0
3474859197931568,4073.0,San Francisco,Online Retailer,20:34,Sunday,Entertainment,38,Non-binary,Poor,9244,12336.66,43,2,389.67,1,0.06,0,28,0
3770096198781924,1572.11,Las Vegas,Gas Station,11:25,Thursday,Entertainment,21,Female,Average,2076,3505.97,13,3,431.44,0,0.29,3,13,0
2315600574356084,1095.46,Los Angeles,Gas Station,13:38,Tuesday,Shopping,77,Female,Good,11378,1897.63,22,0,132.23,9,0.88,0,29,0
4251930499604583,4173.1,Los Angeles,Clothing Store,20:11,Friday,Utilities,40,Non-binary,Average,8407,7382.5,13,3,485.35,1,0.59,3,22,0
4450815083931604,2853.03,Seattle,Cinema,07:00,Tuesday,Health,76,Non-binary,Average,8026,5125.64,25,0,340.88,4,0.87,0,15,0
3331412044990887,1426.11,Miami,Restaurant,02:43,Thursday,Entertainment,21,Non-binary,Good,7667,5042.11,13,0,360.5,8,0.53,1,10,0
2438749922456185,1739.48,Chicago,Restaurant,21:36,Wednesday,Health,24,Non-binary,Average,18358,992.93,39,2,233.65,3,0.28,0,10,0
0940383521317840,340.51,New York,Gas Station,03:43,Sunday,Travel,41,Female,Poor,8854,8993.48,25,0,74.6,9,0.63,4,5,0
8443698990838653,1012.43,Denver,Online Retailer,03:50,Sunday,Entertainment,60,Non-binary,Poor,16227,591.18,6,0,90.91,5,0.62,2,25,0
4139702113219747,745.3,San Francisco,Cinema,01:48,Wednesday,Food,18,Non-binary,Average,5640,8549.15,13,3,186.93,0,0.0,0,29,0
1368627703512627,299.29,Houston,Pharmacy,21:10,Saturday,Travel,56,Male,Poor,11746,10021.32,31,4,357.25,0,0.14,2,16,0
8605286183912820,538.06,Chicago,Restaurant,17:08,Friday,Utilities,75,Female,Poor,17911,5817.56,2,4,207.05,6,0.4,3,26,0
1117855904538864,567.73,Las Vegas,Pharmacy,00:37,Thursday,Utilities,47,Male,Good,1510,11466.46,43,4,476.2,3,0.26,1,15,0
6079679865095958,2402.31,Miami,Hotel,12:28,Friday,Health,72,Non-binary,Average,16741,11258.43,36,3,124.88,2,0.15,3,22,0
9881206277193764,3153.89,Las Vegas,Gas Station,22:59,Tuesday,Travel,35,Female,Average,2507,14778.79,26,1,98.49,9,0.07,0,8,0
2195849023838788,3378.86,Seattle,Gas Station,09:41,Sunday,Health,67,Male,Average,4149,2728.56,1,3,280.9,8,0.28,2,9,0
